date
1/1/2000 0:00
1/3/2000 0:00
1/26/2000 0:00
4/21/2000 0:00
4/22/2000 0:00
4/24/2000 0:00
4/25/2000 0:00
6/12/2000 0:00
10/2/2000 0:00
12/25/2000 0:00
12/26/2000 0:00
1/1/2001 0:00
1/26/2001 0:00
4/13/2001 0:00
4/16/2001 0:00
4/25/2001 0:00
6/11/2001 0:00
12/25/2001 0:00
12/26/2001 0:00
1/1/2002 0:00
1/26/2002 0:00
1/28/2002 0:00
3/29/2002 0:00
4/1/2002 0:00
4/25/2002 0:00
6/10/2002 0:00
10/7/2002 0:00
12/25/2002 0:00
12/26/2002 0:00
1/1/2003 0:00
1/26/2003 0:00
1/27/2003 0:00
4/18/2003 0:00
4/19/2003 0:00
4/21/2003 0:00
4/25/2003 0:00
6/9/2003 0:00
10/6/2003 0:00
12/25/2003 0:00
12/26/2003 0:00
1/1/2004 0:00
1/26/2004 0:00
4/9/2004 0:00
4/10/2004 0:00
4/12/2004 0:00
4/25/2004 0:00
4/26/2004 0:00
6/14/2004 0:00
10/4/2004 0:00
12/25/2004 0:00
12/26/2004 0:00
12/27/2004 0:00
12/28/2004 0:00
1/1/2005 0:00
1/3/2005 0:00
1/26/2005 0:00
3/25/2005 0:00
3/26/2005 0:00
3/28/2005 0:00
4/25/2005 0:00
6/13/2005 0:00
10/3/2005 0:00
12/25/2005 0:00
12/26/2005 0:00
12/27/2005 0:00
1/1/2006 0:00
1/2/2006 0:00
1/26/2006 0:00
4/14/2006 0:00
4/15/2006 0:00
4/17/2006 0:00
4/25/2006 0:00
6/12/2006 0:00
10/2/2006 0:00
12/25/2006 0:00
12/26/2006 0:00
1/1/2007 0:00
1/26/2007 0:00
4/6/2007 0:00
4/7/2007 0:00
4/9/2007 0:00
4/25/2007 0:00
6/11/2007 0:00
10/1/2007 0:00
12/25/2007 0:00
12/26/2007 0:00
1/1/2008 0:00
1/28/2008 0:00
3/21/2008 0:00
3/22/2008 0:00
3/24/2008 0:00
4/25/2008 0:00
6/9/2008 0:00
10/6/2008 0:00
12/25/2008 0:00
12/26/2008 0:00
1/1/2009 0:00
1/26/2009 0:00
4/10/2009 0:00
4/11/2009 0:00
4/13/2009 0:00
4/25/2009 0:00
6/8/2009 0:00
10/5/2009 0:00
12/25/2009 0:00
12/28/2009 0:00
1/1/2010 0:00
1/26/2010 0:00
4/2/2010 0:00
4/3/2010 0:00
4/5/2010 0:00
4/26/2010 0:00
6/14/2010 0:00
10/4/2010 0:00
12/25/2010 0:00
12/27/2010 0:00
12/28/2010 0:00
1/3/2011 0:00
1/26/2011 0:00
4/22/2011 0:00
4/23/2011 0:00
4/25/2011 0:00
4/26/2011 0:00
6/13/2011 0:00
10/3/2011 0:00
12/26/2011 0:00
12/27/2011 0:00
1/2/2012 0:00
1/26/2012 0:00
4/6/2012 0:00
4/9/2012 0:00
4/25/2012 0:00
6/11/2012 0:00
10/1/2012 0:00
12/25/2012 0:00
12/26/2012 0:00
1/1/2013 0:00
1/26/2013 0:00
1/28/2013 0:00
3/29/2013 0:00
4/1/2013 0:00
4/25/2013 0:00
6/10/2013 0:00
10/7/2013 0:00
12/25/2013 0:00
12/26/2013 0:00
1/1/2014 0:00
1/26/2014 0:00
1/27/2014 0:00
4/18/2014 0:00
4/19/2014 0:00
4/21/2014 0:00
4/25/2014 0:00
6/9/2014 0:00
10/6/2014 0:00
12/25/2014 0:00
12/26/2014 0:00
1/1/2015 0:00
1/26/2015 0:00
4/3/2015 0:00
4/4/2015 0:00
4/5/2015 0:00
4/6/2015 0:00
4/25/2015 0:00
6/8/2015 0:00
10/5/2015 0:00
12/25/2015 0:00
12/26/2015 0:00
12/28/2015 0:00
1/1/2016 0:00
1/26/2016 0:00
3/25/2016 0:00
3/26/2016 0:00
3/27/2016 0:00
3/28/2016 0:00
4/25/2016 0:00
6/13/2016 0:00
10/3/2016 0:00
12/25/2016 0:00
12/26/2016 0:00
12/27/2016 0:00
1/1/2017 0:00
1/2/2017 0:00
1/26/2017 0:00
4/14/2017 0:00
4/15/2017 0:00
4/16/2017 0:00
4/17/2017 0:00
4/25/2017 0:00
6/12/2017 0:00
10/2/2017 0:00
10/25/2017 0:00
10/26/2017 0:00
